current_uA,voltage_V
-50.0,21.454547851050624
-49.0,21.011012542184535
-48.0,20.567266605881372
-47.0,20.123099295746336
-46.0,19.67873041002751
-45.0,19.23396666035486
-44.0,18.788738732873643
-43.0,18.343218859074213
-42.0,17.89737352316799
-41.0,17.450903179428128
-40.0,17.004007797410008
-39.0,16.556572348881627
-38.0,16.108557050229795
-37.0,15.660031991034355
-36.0,15.2107699734518
-35.0,14.761222831698378
-34.0,14.310668623310432
-33.0,13.859282801624147
-32.0,13.406877285191408
-31.0,12.95324358837277
-30.0,12.499038625541179
-29.0,12.042836963744604
-28.0,11.585953862889582
-27.0,11.127503671180564
-26.0,10.666775562491608
-25.0,10.204253979399716
-24.0,9.739861277044277
-23.0,9.269756630169915
-22.0,8.798124859700227
-21.0,8.325207801479612
-20.0,7.841210691827148
-19.0,7.354149754742298
-18.0,6.859072459247168
-17.0,6.350162663302919
-16.0,5.84168266402162
-15.0,5.302485915471342
-14.0,4.717330700571024
-13.0,4.034244427456838
-12.0,1.1526768943859629
-11.0,0.0005365258997513274
-10.0,0.0004697939648234107
-9.0,0.0004155553754257604
-8.0,0.00036375609898544616
-7.0,0.0003143005167188212
-6.0,0.0002665172502617154
-5.0,0.00022034861722000236
-4.0,0.00017530139953477096
-3.0,0.00013116720587122272
-2.0,8.758271096489839e-05
-1.0,4.3828348105743796e-05
0.0,5.972040736823885e-07
1.0,-4.303362495901848e-05
2.0,-8.70924014057336e-05
3.0,-0.00013176322304576138
4.0,-0.0001775577615461192
5.0,-0.00022316704219753477
6.0,-0.00027316699758756505
7.0,-0.0003236532357169426
8.0,-0.00037666588774019384
9.0,-0.000432252831883108
10.0,-0.0004918443176062317
11.0,-0.0005545375751158146
12.0,-0.0006234805430332739
13.0,-0.0006977871740403938
14.0,-0.000779594038628188
15.0,-0.0008711071910175773
16.0,-0.0009771832597643784
17.0,-0.00114196280492018
18.0,-0.12440353449778645
19.0,-0.13423801472112812
20.0,-0.15810023460362876
21.0,-0.20499030763222661
22.0,-0.2590667442088559
23.0,-0.3519796318251704
24.0,-1.4520701868020869
25.0,-6.95441595165009
26.0,-10.316559374560654
27.0,-11.025277912953666
28.0,-11.48950689774014
29.0,-11.950921318986389
30.0,-12.411540785376523
31.0,-12.86982133705539
32.0,-13.326807365708298
33.0,-13.782243028700362
34.0,-14.23683899525731
35.0,-14.690169361138363
36.0,-15.142569049663733
37.0,-15.594127343443885
38.0,-16.044839837260973
39.0,-16.49508058724012
40.0,-16.94411102697738
41.0,-17.392967909622392
42.0,-17.841182135644928
43.0,-18.28872391965782
44.0,-18.73583277918237
45.0,-19.182477892268377
46.0,-19.62871632419962
47.0,-20.074435808941868
48.0,-20.51986751703613
49.0,-20.96491000919298
