N_peine,polaridad,B_mT,Jc1_uA,Jc2_uA,eta_c1_pct,eta_c2_pct,tiempo_s,estado
2,negativo,0.2,,,,,15371.4,OK
2,negativo,0.9,,,,,14873.6,OK
2,negativo,1.1,,,,,14425.1,OK
2,positivo,0.1,-26.0,28.0,,,15464.7,OK
2,negativo,0.7,,,,,15157.1,OK
2,negativo,0.8,,,,,14907.3,OK
2,positivo,0.4,,,,,15474.0,OK
2,negativo,0.6,,,,,15112.2,OK
2,negativo,1.2,,,,,14344.8,OK
2,negativo,1.0,,,,,14189.1,OK
2,negativo,0.5,,,,,15328.4,OK
2,negativo,0.0,,,,,15293.9,OK
2,negativo,0.4,,,,,15270.3,OK
2,positivo,0.7,,,,,15200.8,OK
2,positivo,0.5,14.0,,,,15360.0,OK
2,negativo,0.1,,,,,15352.7,OK
2,positivo,0.0,-21.0,31.0,,,15051.7,OK
2,positivo,1.0,,,,,14579.9,OK
2,positivo,1.2,,,,,14098.6,OK
2,positivo,1.1,,,,,14364.1,OK
2,negativo,0.3,,,,,15338.6,OK
2,positivo,0.3,,,,,15320.9,OK
2,positivo,0.6,,,,,15308.4,OK
2,positivo,0.2,22.0,24.0,,,15420.1,OK
2,positivo,0.8,,,,,15000.4,OK
2,positivo,0.9,,,,,14602.8,OK
