B,eficiencia,tipo
0.0,93.10344827586206,positivo
0.1,92.3076923076923,positivo
0.2,64.28571428571429,positivo
0.3,73.91304347826086,positivo
0.4,78.94736842105263,positivo
0.5,86.66666666666667,positivo
0.6,84.61538461538461,positivo
0.7,80.0,positivo
0.8,77.77777777777779,positivo
0.9,75.0,positivo
1.0,71.42857142857143,positivo
1.1,66.66666666666666,positivo
1.2,50.0,positivo
0.0,80.95238095238095,negativo
0.1,88.23529411764706,negativo
0.2,84.61538461538461,negativo
0.3,80.0,negativo
0.4,75.0,negativo
0.5,71.42857142857143,negativo
0.6,66.66666666666666,negativo
0.7,60.0,negativo
0.8,60.0,negativo
0.9,50.0,negativo
1.0,50.0,negativo
1.1,50.0,negativo
1.2,33.33333333333333,negativo
