current_uA,voltage_V
-50.0,21.9664471704094
-49.0,21.524068603288793
-48.0,21.08128175978957
-47.0,20.639823902828887
-46.0,20.196340461906807
-45.0,19.753884393086707
-44.0,19.311441366895338
-43.0,18.869686292070597
-42.0,18.426389485622412
-41.0,17.98299966349457
-40.0,17.538498519738205
-39.0,17.097461864688256
-38.0,16.655291458049188
-37.0,16.210674071378563
-36.0,15.76904715889606
-35.0,15.326109199741719
-34.0,14.880867640148981
-33.0,14.436797686239698
-32.0,13.993629242873329
-31.0,13.548261592562868
-30.0,13.104082727155214
-29.0,12.660943701168483
-28.0,12.213617204031104
-27.0,11.765574537726836
-26.0,11.317280122225798
-25.0,10.871028694284236
-24.0,10.422709928128894
-23.0,9.974464166484033
-22.0,9.524924202171555
-21.0,9.071044920682832
-20.0,8.611678163080814
-19.0,8.152109797105346
-18.0,7.678621715124078
-17.0,7.20671798581086
-16.0,6.695355435273834
-15.0,6.0696889014554065
-14.0,4.629724748043664
-13.0,0.4628289048995829
-12.0,0.0005996491487586457
-11.0,0.0005355835311934721
-10.0,0.0004759441429762323
-9.0,0.00041993646408560733
-8.0,0.0003669355358317202
-7.0,0.00031641613788699845
-6.0,0.0002679219471875353
-5.0,0.00022106072178999198
-4.0,0.00017548234304998758
-3.0,0.00013086992173781876
-2.0,8.693098042669599e-05
-1.0,4.339021656679396e-05
0.0,-1.825139833104554e-08
1.0,-4.355644786116991e-05
2.0,-8.748891587411158e-05
3.0,-0.0001320882180159981
4.0,-0.0001776422849697276
5.0,-0.0002244610453032462
6.0,-0.0002728852742386934
7.0,-0.00032329669822005235
8.0,-0.0003761297458967054
9.0,-0.00043189142592789647
10.0,-0.0004911789053787507
11.0,-0.0005547097811730041
12.0,-0.0006233675041480421
13.0,-0.0006982461358525407
14.0,-0.0007807567760877422
15.0,-0.000872740247580793
16.0,-0.000976708010735256
17.0,-0.0010962639273830656
18.0,-0.0012368838462661327
19.0,-0.00140862445513358
20.0,-0.0016376696515445297
21.0,-0.0021617536382348584
22.0,-0.12334091482392319
23.0,-0.1629578665740525
24.0,-0.23669641612300027
25.0,-3.061747401157894
26.0,-10.50260328776077
27.0,-11.757344889617952
28.0,-12.207344149783903
29.0,-12.654129548284015
30.0,-13.09895061860007
31.0,-13.543175985418745
32.0,-13.98620568440617
33.0,-14.43220909587753
34.0,-14.876583131419633
35.0,-15.319904238773004
36.0,-15.763939857624896
37.0,-16.20759343849242
38.0,-16.652238149845385
39.0,-17.093615864338513
40.0,-17.537676844823615
41.0,-17.980976397564696
42.0,-18.424257005091103
43.0,-18.86440252768528
44.0,-19.309299018022482
45.0,-19.75147387614606
46.0,-20.194304342529108
47.0,-20.636161684619687
48.0,-21.079567050997102
49.0,-21.521112266025398
