N_peine,polaridad,B_mT,Jc1_uA,Jc2_uA,eta_c1_pct,eta_c2_pct,tiempo_s,estado
50,negativo,0.9,,,,,42288.7,OK
50,negativo,0.0,,,,,43676.4,OK
50,negativo,1.2,,,,,43181.3,OK
50,positivo,0.2,-16.0,22.0,,,43215.3,OK
50,negativo,1.1,,,,,42731.0,OK
50,positivo,0.1,-16.0,24.0,,,43498.5,OK
50,negativo,0.2,,,,,43598.7,OK
50,positivo,0.4,17.0,,,,43323.7,OK
50,negativo,0.5,,,,,42740.3,OK
50,positivo,0.7,-13.0,,,,43364.8,OK
50,positivo,1.0,,,,,43405.0,OK
50,negativo,0.3,,,,,43352.2,OK
50,positivo,1.2,,,,,43203.8,OK
50,positivo,0.5,-13.0,,,,43365.2,OK
50,negativo,0.4,,,,,43097.6,OK
50,negativo,0.7,,,,,42639.5,OK
50,positivo,1.1,,,,,43599.7,OK
50,negativo,1.0,,,,,42957.6,OK
50,positivo,0.0,27.0,28.0,,,43357.3,OK
50,positivo,0.9,,,,,42817.1,OK
50,positivo,0.3,19.0,20.0,,,43355.4,OK
50,negativo,0.1,,,,,43360.6,OK
50,negativo,0.8,,,,,43031.0,OK
50,positivo,0.6,-13.0,,,,43800.5,OK
50,negativo,0.6,,,,,43462.8,OK
50,positivo,0.8,,,,,43117.6,OK
