current_uA,voltage_V
-50.0,-21.384184585506922
-49.5,-21.16168420344062
-49.0,-20.938992965011977
-48.5,-20.71627317577955
-48.0,-20.493381757897005
-47.5,-20.27053203625176
-47.0,-20.047476976297855
-46.5,-19.82435171713202
-46.0,-19.60107274940004
-45.5,-19.377783068089087
-45.0,-19.15439511382136
-44.5,-18.93076530661644
-44.0,-18.70706811991057
-43.5,-18.483188196628987
-43.0,-18.259332281911107
-42.5,-18.03518506502984
-42.0,-17.81097974174361
-41.5,-17.58653219559526
-41.0,-17.36202810529213
-40.5,-17.137322178038563
-40.0,-16.912534519150366
-39.5,-16.687550724863254
-39.0,-16.462382567700157
-38.5,-16.237060155537396
-38.0,-16.011682944743367
-37.5,-15.785663480352866
-37.0,-15.559748467213323
-36.5,-15.333673676138734
-36.0,-15.107198222196722
-35.5,-14.880537537641475
-35.0,-14.653600353927098
-34.5,-14.42632664794748
-34.0,-14.198855670960084
-33.5,-13.971319290957416
-33.0,-13.74314649748531
-32.5,-13.514640312571624
-32.0,-13.285774514710143
-31.5,-13.056475277930653
-31.0,-12.827096847934365
-30.5,-12.596969652411916
-30.0,-12.366384817385843
-29.5,-12.135278936612501
-29.0,-11.903658743034013
-28.5,-11.671988707893105
-28.0,-11.438859987335446
-27.5,-11.205196846685185
-27.0,-10.971301635988803
-26.5,-10.735994149153957
-26.0,-10.499965441665129
-25.5,-10.262814429468344
-25.0,-10.024675343189593
-24.5,-9.785194297302516
-24.0,-9.544147617760611
-23.5,-9.302999365062673
-23.0,-9.058350201815006
-22.5,-8.811596270007799
-22.0,-8.563987885572207
-21.5,-8.313037170848364
-21.0,-8.058501496737465
-20.5,-7.800735503409303
-20.0,-7.539574975461535
-19.5,-7.270751749613588
-19.0,-6.996740713253001
-18.5,-6.714105900981546
-18.0,-6.416932167308234
-17.5,-6.104477109001099
-17.0,-5.765859584073343
-16.5,-5.372667486719674
-16.0,-4.757513942812563
-15.5,-2.0465340207862557
-15.0,-1.111347685526415
-14.5,-1.0474259689322079
-14.0,-0.9614975167140111
-13.5,-0.8881038562406404
-13.0,-0.8756121223414272
-12.5,-0.8194052375030736
-12.0,-0.7001910319918823
-11.5,-0.6741266752257469
-11.0,-0.6114219888534297
-10.5,-0.578077863786046
-10.0,-0.5062022807726024
-9.5,-0.48054184311628667
-9.0,-0.4376357973029873
-8.5,-0.40183844621751896
-8.0,-0.36129410004430346
-7.5,-0.30215881700117
-7.0,-0.26077998684789067
-6.5,-0.24072393381265217
-6.0,-0.1927256636782323
-5.5,-0.11883361389375573
-5.0,-0.07274363707473339
-4.5,-0.012757509801694768
-4.0,0.0017590132193882934
-3.5,0.0017774753374832618
-3.0,0.0018192668858234666
-2.5,0.0017382520950422102
-2.0,0.001661775617134573
-1.5,0.0016134352890644218
-1.0,0.0016014579623150667
-0.5,0.0016144771130360185
0.0,0.0016547651529319736
0.5,0.0017213085544729625
1.0,0.0018109629231252576
1.5,0.0019271953157676326
2.0,0.002085393501171691
2.5,0.0022881273474239816
3.0,0.002576412584809886
3.5,0.003012985707877057
4.0,0.003799053861765257
4.5,0.006259921948899377
5.0,0.048581138407093646
5.5,0.058421788411523214
6.0,0.2026756990505931
6.5,0.13815516024448374
7.0,0.190983373825876
7.5,0.29626400991588187
8.0,0.3241106056867533
8.5,0.361764826774294
9.0,0.38277517715822074
9.5,0.4516038219271287
10.0,0.4875575605127195
10.5,0.5339320367101581
11.0,0.6155665704648916
11.5,0.6729287917595058
12.0,0.7799211867031816
12.5,0.9063979535227086
13.0,0.9613908312885663
13.5,1.254676398090765
14.0,1.7270260836845792
14.5,1.9375416676653794
15.0,2.20733033260841
15.5,2.5858823029749294
16.0,3.252294256123491
16.5,4.147151534813926
17.0,6.422884741159694
17.5,6.978418901426415
18.0,7.208612333163117
18.5,7.442764240515368
19.0,7.674977615970052
19.5,7.905609042601076
20.0,8.13487552364174
20.5,8.366349880063431
21.0,8.596138709951871
21.5,8.825120392989861
22.0,9.053615626352174
22.5,9.280195101449163
23.0,9.508495976672119
23.5,9.734569758330275
24.0,9.963592096870833
24.5,10.189033783466073
25.0,10.414949920056323
25.5,10.641489469638026
26.0,10.867691449824848
26.5,11.09297777663363
27.0,11.318489681298452
27.5,11.543329317060875
28.0,11.768197751115588
28.5,11.993048243255599
29.0,12.217269507614512
29.5,12.441492151546042
30.0,12.665621296593521
30.5,12.889574510931585
31.0,13.113487977918979
31.5,13.337179028952102
32.0,13.560676155652644
32.5,13.78407268385469
33.0,14.007518048760968
33.5,14.230366285754917
34.0,14.453164240853665
34.5,14.676258039050007
35.0,14.898804380776783
35.5,15.121654332584082
36.0,15.34426034774767
36.5,15.566520719615765
37.0,15.788884213766455
37.5,16.01121443421446
38.0,16.233328823851778
38.5,16.455387786487584
39.0,16.677290758457197
39.5,16.899244372543574
40.0,17.121084371414852
40.5,17.34277080059545
41.0,17.56441130232505
41.5,17.785897622295284
42.0,18.007474064698034
42.5,18.228899640188228
43.0,18.450389026303473
43.5,18.671594470835444
44.0,18.892883079551932
44.5,19.11402089168863
45.0,19.335135477029684
45.5,19.55619879157836
46.0,19.777189981292544
46.5,19.998150014031435
47.0,20.21898313835743
47.5,20.439864934036045
48.0,20.66069102444723
48.5,20.88141000785196
49.0,21.102092056916472
49.5,21.32275502886297
