N_peine,polaridad,B_mT,Jc1_uA,Jc2_uA,eta_c1_pct,eta_c2_pct,tiempo_s,estado
10,positivo,1.1,,,,,18703.9,OK
10,positivo,1.2,,,,,16913.3,OK
10,positivo,0.1,24.0,24.5,,,21967.3,OK
10,negativo,0.5,,,,,24092.6,OK
10,negativo,0.6,,,,,23723.5,OK
10,positivo,1.0,,,,,19988.3,OK
10,negativo,1.0,,,,,19886.0,OK
10,negativo,0.1,,,,,22457.3,OK
10,positivo,0.5,-16.0,,,,23839.0,OK
10,negativo,0.2,,,,,23707.3,OK
10,negativo,1.1,,,,,18592.9,OK
10,positivo,0.9,,,,,21178.7,OK
10,positivo,0.0,-14.0,27.0,,,21620.3,OK
10,negativo,1.2,,,,,16887.4,OK
10,positivo,0.8,,,,,22309.5,OK
10,positivo,0.6,-16.0,,,,23486.5,OK
10,positivo,0.4,-16.0,16.5,,,24272.5,OK
10,negativo,0.9,,,,,21193.3,OK
10,negativo,0.7,,,,,22815.7,OK
10,negativo,0.8,,,,,22254.9,OK
10,negativo,0.0,,,,,21426.3,OK
10,positivo,0.7,,,,,22863.1,OK
10,positivo,0.3,-15.5,20.0,,,24247.6,OK
10,negativo,0.3,,,,,24481.9,OK
10,negativo,0.4,,,,,24336.8,OK
10,positivo,0.2,-15.5,22.5,,,23664.0,OK
