N_peine,polaridad,B_mT,Jc1_uA,Jc2_uA,eta_c1_pct,eta_c2_pct,tiempo_s,estado
4,positivo,1.2,,,,,7746.8,OK
4,negativo,1.0,,,,,8509.4,OK
4,negativo,0.7,,,,,9102.2,OK
4,positivo,0.2,22.0,23.0,,,10306.5,OK
4,negativo,0.2,,,,,9952.1,OK
4,negativo,0.6,,,,,9443.5,OK
4,positivo,0.4,,,,,9947.5,OK
4,positivo,0.0,-19.0,27.0,,,8867.6,OK
4,negativo,1.1,,,,,8405.9,OK
4,negativo,0.4,,,,,9487.5,OK
4,positivo,1.0,,,,,8716.8,OK
4,positivo,0.7,,,,,9225.0,OK
4,negativo,0.5,,,,,9293.8,OK
4,negativo,0.8,,,,,8964.5,OK
4,positivo,0.8,,,,,9002.1,OK
4,positivo,0.1,-21.0,25.0,,,9643.2,OK
4,negativo,0.1,,,,,10052.4,OK
4,negativo,0.9,,,,,8783.9,OK
4,positivo,0.6,,,,,9327.9,OK
4,negativo,1.2,,,,,8101.7,OK
4,negativo,0.0,,,,,9041.4,OK
4,positivo,0.5,14.0,,,,9498.1,OK
4,positivo,1.1,,,,,8140.8,OK
4,negativo,0.3,,,,,9617.0,OK
4,positivo,0.3,20.0,,,,10173.2,OK
4,positivo,0.9,,,,,8916.1,OK
