current_uA,voltage_V
-50.0,19.784798517767673
-49.0,19.46714098687229
-48.0,19.06989283635591
-47.0,18.672603891961185
-46.0,18.275313447901883
-45.0,17.878024170128334
-44.0,17.48073521409964
-43.0,17.0834432947298
-42.0,16.686154392392968
-41.0,16.288865337642587
-40.0,15.891575190971109
-39.0,15.49428654346479
-38.0,15.09699719091252
-37.0,14.699705631058446
-36.0,14.302417792196385
-35.0,13.905126651191573
-34.0,13.507835898490967
-33.0,13.110548199195406
-32.0,12.713236182729636
-31.0,12.315953714642093
-30.0,11.918641880397493
-29.0,11.521301044973896
-28.0,11.122784236445733
-27.0,10.483277501976765
-26.0,9.941656154144662
-25.0,9.496818133840323
-24.0,9.04282652864709
-23.0,8.573691638993573
-22.0,8.080499214007595
-21.0,7.54891794284232
-20.0,6.950129303834436
-19.0,6.132848970895658
-18.0,3.2913065147817355
-17.0,0.251158628351265
-16.0,0.0012151187289214363
-15.0,0.001023308980058056
-14.0,0.0009374855261094286
-13.0,0.0008495414949938985
-12.0,0.0007669789558463024
-11.0,0.000688316975703622
-10.0,0.0006141374008313491
-9.0,0.0005442758834442301
-8.0,0.0004773060342506162
-7.0,0.0004126618922182587
-6.0,0.0003509675682279551
-5.0,0.00029062635489188855
-4.0,0.0002312799162894514
-3.0,0.00017292273229972368
-2.0,0.00011576582449147519
-1.0,5.735176357970807e-05
0.0,-4.55350324055626e-07
1.0,-5.869045665574077e-05
2.0,-0.00011871111548579234
3.0,-0.0001792100362425394
4.0,-0.00024206676448995085
5.0,-0.0003077206509318217
6.0,-0.0003766898385703606
7.0,-0.0004498259475418448
8.0,-0.0005369368261834783
9.0,-0.0007064508394726269
10.0,-0.031948129423645236
11.0,-0.03841034069108159
12.0,-0.0465846282472599
13.0,-0.05267229022149582
14.0,-0.05034085779385416
15.0,-0.0644749464976103
16.0,-0.10747630807831163
17.0,-0.1729451465940419
18.0,-0.1788682270151096
19.0,-0.42824350614169177
20.0,-0.599299434438457
21.0,-1.1897408079509812
22.0,-1.671865674107716
23.0,-2.169836000607171
24.0,-2.7024073554059194
25.0,-3.2961683001375444
26.0,-3.9474161004615094
27.0,-4.642577731379065
28.0,-5.368649377844286
29.0,-6.125116217788799
30.0,-6.943872069707293
31.0,-7.904184246532619
32.0,-10.408957124606458
33.0,-12.304144375277135
34.0,-12.805732422088253
35.0,-13.275203762504699
36.0,-13.734196580920742
37.0,-14.18557451460066
38.0,-14.63124912777455
39.0,-15.072371696183438
40.0,-15.509826929362935
41.0,-15.944057736027622
42.0,-16.375414953172605
43.0,-16.8041953827172
44.0,-17.23060164984075
45.0,-17.655024061951718
46.0,-18.077942530898195
47.0,-18.500212872688977
48.0,-18.923091886997465
49.0,-19.349496757402008
