N_peine,polaridad,B_mT,Jc1_uA,Jc2_uA,eta_c1_pct,eta_c2_pct,tiempo_s,estado
6,negativo,0.5,,,,,10069.6,OK
6,positivo,1.1,,,,,9268.3,OK
6,negativo,1.2,,,,,8970.4,OK
6,negativo,0.8,,,,,9588.9,OK
6,negativo,0.9,,,,,9510.7,OK
6,positivo,1.0,,,,,9376.1,OK
6,positivo,0.8,,,,,9618.9,OK
6,negativo,0.4,,,,,10365.6,OK
6,positivo,0.0,-17.0,27.0,,,9292.2,OK
6,negativo,1.0,,,,,9411.3,OK
6,positivo,0.3,-19.0,19.0,,,10420.1,OK
6,negativo,1.1,,,,,9199.6,OK
6,negativo,0.2,,,,,10444.0,OK
6,positivo,0.6,,,,,10002.0,OK
6,positivo,0.9,,,,,9546.0,OK
6,positivo,0.5,13.0,,,,10081.6,OK
6,negativo,0.0,,,,,9477.5,OK
6,negativo,0.1,,,,,10036.8,OK
6,positivo,0.2,-19.0,22.0,,,10361.4,OK
6,positivo,0.1,-18.0,25.0,,,9748.6,OK
6,positivo,0.4,-19.0,,,,10184.8,OK
6,positivo,0.7,,,,,9709.2,OK
6,positivo,1.2,,,,,8783.6,OK
6,negativo,0.3,,,,,10420.1,OK
6,negativo,0.6,,,,,9971.1,OK
6,negativo,0.7,,,,,9832.1,OK
